StoreName,ExternalCategory,URL,,
Abercrombie,Outerwear,http://www.abercrombie.com/shop/us/womens-jackets-and-outerwear,,
Abercrombie,Dresses and Rompers,http://www.abercrombie.com/shop/us/womens-dresses-and-rompers,,
Abercrombie,Sweaters,http://www.abercrombie.com/shop/us/womens-sweaters,,
Abercrombie,Hoodies & Sweatshirts,http://www.abercrombie.com/shop/us/womens-hoodies-and-sweatshirts,,
Abercrombie,Tops,http://www.abercrombie.com/shop/us/womens-tops,,
Abercrombie,Graphic Tees,http://www.abercrombie.com/shop/us/womens-graphic-tees,,
Abercrombie,Skirts,http://www.abercrombie.com/shop/us/womens-skirts,,
Abercrombie,Jeans,http://www.abercrombie.com/shop/us/womens-jeans,,
Abercrombie,Sweatpants,http://www.abercrombie.com/shop/us/womens-sweatpants,,
Abercrombie,Leggings,http://www.abercrombie.com/shop/us/womens-leggings,,
Abercrombie,Pants,http://www.abercrombie.com/shop/us/womens-pants,,
Abercrombie,Joggers,http://www.abercrombie.com/shop/us/womens-joggers,,
Abercrombie,Shorts,http://www.abercrombie.com/shop/us/womens-shorts,,
Abercrombie,Swim,http://www.abercrombie.com/shop/us/womens-swim,,
Abercrombie,Footwear,http://www.abercrombie.com/shop/us/womens-footwear,,
Abercrombie,Bags,http://www.abercrombie.com/shop/us/womens-totes-accessories,,
Abercrombie,Hats,http://www.abercrombie.com/shop/us/womens-caps-accessories,,
Abercrombie,Scarves,http://www.abercrombie.com/shop/us/womens-fashion-scarves-accessories,,
Abercrombie,Socks,http://www.abercrombie.com/shop/us/womens-socks-accessories,,
Abercrombie,Jewelry,http://www.abercrombie.com/shop/us/womens-jewelry-accessories,,
Abercrombie,Slippers,http://www.abercrombie.com/shop/us/womens-slippers-accessories,,
Abercrombie,Hair,http://www.abercrombie.com/shop/us/womens-hair-accessories,,
Abercrombie,Tech,http://www.abercrombie.com/shop/us/womens-tech-accessories,,
Abercrombie,Belts,http://www.abercrombie.com/shop/us/womens-belts-accessories,,
Abercrombie,Sleep,http://www.abercrombie.com/shop/us/womens-sleep,,
Abercrombie,Body Care,http://www.abercrombie.com/shop/us/womens-bodycare,,
Abercrombie,Fragrance,http://www.abercrombie.com/shop/us/womens-fragrance,,
