StoreName,ExternalCategory,URL,special_tag
Adidas,Short Sleeve Tops,http://www.adidas.com/us/women-short_sleeve_tops-apparel,
Adidas,Long Sleeve Tops,http://www.adidas.com/us/women-long_sleeve_tops-apparel,
Adidas,Graphic Tees Apparel,http://www.adidas.com/us/women-graphic_tees-apparel,
Adidas,Sleeveless Tops,http://www.adidas.com/us/women-sleeveless_tops-apparel,
Adidas,Womens Shorts,http://www.adidas.com/us/women-shorts-apparel,
Adidas,Womens Pants,http://www.adidas.com/us/women-pants-apparel,
Adidas,Womens Tights,http://www.adidas.com/us/women-tights-apparel,
Adidas,Womens Bras,http://www.adidas.com/us/women-bras-apparel,
Adidas,Original Shoes,http://www.adidas.com/us/women-originals-shoes,
Adidas,NEO shoes,http://www.adidas.com/us/women-neo-shoes,
Adidas,Soccer Shoes,http://www.adidas.com/us/women-soccer-shoes,
Adidas,Running Shoes,http://www.adidas.com/us/women-running-shoes,
Adidas,Training Shoes,http://www.adidas.com/us/women-training-shoes,
Adidas,Basketball Shoes,http://www.adidas.com/us/women-basketball-shoes,
Adidas,Womens Outdoor Shoes,http://www.adidas.com/us/women-outdoor-shoes,
Adidas,Womens Tennis Shoes,http://www.adidas.com/us/women-tennis-shoes,
Adidas,Womens Softball Shoes,http://www.adidas.com/us/women-softball-shoes,
Adidas,Bags,http://www.adidas.com/us/women-bags-accessories,
Adidas,Balls,http://www.adidas.com/us/women-balls-accessories,
Adidas,Gloves,http://www.adidas.com/us/women-gloves-accessories,
Adidas,Hats,http://www.adidas.com/us/women-hats-accessories,
Adidas,Scarves,http://www.adidas.com/us/women-scarves-accessories,
Adidas,Socks,http://www.adidas.com/us/women-socks-accessories,
Adidas,Watches,http://www.adidas.com/us/women-watches-accessories,
