StoreName,ExternalCategory,URL,special_tag,
American Apparel,Denim,http://store.americanapparel.net/denim_cat33490,,
American Apparel,Dresses,http://store.americanapparel.net/dresses_cat33449,,
American Apparel,Body Suits,http://store.americanapparel.net/bodysuits_cat33225,,
American Apparel,Tops,http://store.americanapparel.net/tops_cat33188,,
American Apparel,T-Shirts & Tanks,http://store.americanapparel.net/t-shirts-tanks_cat33194,,
American Apparel,Skirts,http://store.americanapparel.net/skirts_cat33212,,
American Apparel,Shorts,http://store.americanapparel.net/shorts_cat33247,,
American Apparel,Pants,http://store.americanapparel.net/pants_cat33209,,
American Apparel,Sweaters,http://store.americanapparel.net/sweaters_cat33284,,
American Apparel,Outwerwear,http://store.americanapparel.net/outerwear_cat33167,,
American Apparel,Sweatshirts,http://store.americanapparel.net/sweatshirts_cat33171,,
American Apparel,Activewear,http://store.americanapparel.net/activewear_fitness-collection,,
American Apparel,Leggings,http://store.americanapparel.net/leggings_cat33288,,
American Apparel,Lingerie,http://store.americanapparel.net/lingerie_cat33164,,
American Apparel,Swim,http://store.americanapparel.net/swim_cat33218,,
American Apparel,Shoes,http://store.americanapparel.net/shoes_cat1560102,,
American Apparel,Bags,http://store.americanapparel.net/accessories_cat1700313,,
American Apparel,Hoisery and Socks,http://store.americanapparel.net/hosiery-socks_cat1230020,,
American Apparel,Vintage,http://store.americanapparel.net/vintage_cat1720056,,
