StoreName,ExternalCategory,URL,special_tag
American Eagle,Jackets and Outerwear,http://www.ae.com/web/browse/category.jsp?catId=cat4260032,
American Eagle,Sweaters,http://www.ae.com/web/browse/category.jsp?catId=cat1410002,
American Eagle,Hoodies and Sweatshirts,http://www.ae.com/web/browse/category.jsp?catId=cat90048,
American Eagle,Shirts,http://www.ae.com/web/browse/category.jsp?catId=cat90038,
American Eagle,Tees,http://www.ae.com/web/browse/category.jsp?catId=cat90030,
American Eagle,Graphic Tees,http://www.ae.com/web/browse/category.jsp?catId=cat90042,
American Eagle,Polos,http://www.ae.com/web/browse/category.jsp?catId=cat6950009,
American Eagle,Tank Tops,http://www.ae.com/web/browse/category.jsp?catId=cat380157,
American Eagle,Jeans,http://www.ae.com/web/browse/category_products.jsp?&catId=cat6430042&tagtype=breadcrumbs,
American Eagle,Pants,http://www.ae.com/web/browse/category_products.jsp?catId=cat90034,
American Eagle,Joggers and Lounge,http://www.ae.com/web/browse/category.jsp?catId=cat7010091,
American Eagle,Leggings and Yoga,http://www.ae.com/web/browse/category.jsp?catId=cat5610027,
American Eagle,Skirts,http://www.ae.com/web/browse/category.jsp?catId=cat5920105,
American Eagle,Shorts,http://www.ae.com/web/browse/category.jsp?catId=cat380159,
American Eagle,Dresses,http://www.ae.com/web/browse/category.jsp?catId=cat1320034,
American Eagle,Shoes,http://www.ae.com/web/browse/category.jsp?catId=cat4840020,
American Eagle,Hats Gloves Scarves,http://www.ae.com/web/browse/category.jsp?catId=cat6470537,
American Eagle,Fashion Scarves,http://www.ae.com/web/browse/category.jsp?catId=cat7190003,
American Eagle,Bags,http://www.ae.com/web/browse/category.jsp?catId=cat90052,
American Eagle,Belts,http://www.ae.com/web/browse/category.jsp?catId=cat1070004,
American Eagle,Jewelry,http://www.ae.com/web/browse/category.jsp?catId=cat90050,
American Eagle,Hair Accessories,http://www.ae.com/web/browse/category.jsp?catId=cat5630090,
American Eagle,Sunglasses,http://www.ae.com/web/browse/category.jsp?catId=cat1070002,
American Eagle,Gifts,http://www.ae.com/web/browse/category.jsp?catId=cat7120038,
American Eagle,Tops,http://www.ae.com/web/browse/category.jsp?catId=cat6470588&navdetail=Clearance:LeftNav:Womens,sale
American Eagle,Bottoms,http://www.ae.com/web/browse/category.jsp?catId=cat6470587,sale
American Eagle,Dresses,http://www.ae.com/web/browse/category.jsp?catId=cat90104,sale
American Eagle,Accessories,http://www.ae.com/web/browse/category.jsp?catId=cat90086,sale
American Eagle,Shoes,http://www.ae.com/web/browse/category.jsp?catId=cat90114,sale
