StoreName,ExternalCategory,URL
Brandy Melville,Dresses,http://www.brandymelvilleusa.com/clothing/dresses.html
Brandy Melville,Knits,http://www.brandymelvilleusa.com/clothing/tops/knits.html
Brandy Melville,Blouses & Buttonups,http://www.brandymelvilleusa.com/clothing/tops/blouses-button-ups.html
Brandy Melville,Tees,http://www.brandymelvilleusa.com/clothing/tops/tees.html
Brandy Melville,Tanks & Halters,http://www.brandymelvilleusa.com/clothing/tops/tanks.html
Brandy Melville,Skirts,http://www.brandymelvilleusa.com/clothing/bottoms/skirts.html
Brandy Melville,Pants,http://www.brandymelvilleusa.com/clothing/bottoms/pants.html
Brandy Melville,Shorts,http://www.brandymelvilleusa.com/clothing/bottoms/shorts.html
Brandy Melville,Sweaters,http://www.brandymelvilleusa.com/clothing/outerwear.html
Brandy Melville,Outerwear,http://www.brandymelvilleusa.com/clothing/outerwear-24.html
Brandy Melville,Intimates,http://www.brandymelvilleusa.com/clothing/intimates.html
Brandy Melville,Graphic Tees,http://www.brandymelvilleusa.com/graphic-tops.html
Brandy Melville,Jewelry,http://www.brandymelvilleusa.com/accessories/jewelry.html
Brandy Melville,Bags,http://www.brandymelvilleusa.com/accessories/bags.html
Brandy Melville,Hats & Beanies,http://www.brandymelvilleusa.com/accessories/beanies.html
