StoreName,ExternalCategory,URL,special_tag
C Wonder,Jackets & Outerwear,http://www.cwonder.com/Categories/Clothing/Jackets-and-Outerwear/shop-by-category/BlazersandOuterwear.html,
C Wonder,Sweaters,http://www.cwonder.com/Categories/Clothing/Sweaters/shop-by-category/Sweaters.html,
C Wonder,Shirts and Tops,http://www.cwonder.com/Categories/Clothing/Shirts-and-Tops/shop-by-category/ShirtsandTops.html,
C Wonder,Sleepwear,http://www.cwonder.com/Categories/Clothing/Sleepwear/shop-by-category/Sleepwear.html,
C Wonder,Dresses & Skirts,http://www.cwonder.com/Categories/Clothing/Dresses-and-Skirts/shop-by-category/DressesandSkirts.html,
C Wonder,Denim,http://www.cwonder.com/Categories/Clothing/C-Denim/shop-by-category/CDenim.html,
C Wonder,Pants,http://www.cwonder.com/Categories/Clothing/Pants/shop-by-category/PantsandShorts.html,
C Wonder,Jewelry,http://www.cwonder.com/Categories/Jewelry/shop-by-category/Jewelry.html,
C Wonder,Bags,http://www.cwonder.com/Categories/Bags/shop-by-category/Bags.html,
C Wonder,Shoes,http://www.cwonder.com/Categories/Shoes/shop-by-category/Shoes.html,
C Wonder,Accessories,http://www.cwonder.com/Categories/Accessories/shop-by-category/Accessories.html,
C Wonder,Home,http://www.cwonder.com/Categories/Home-and-Gift/shop-by-category/HomeandDecor.html,
