StoreName,ExternalCategory,URL,special_tag
Forever 21,Dresses,http://www.forever21.com/Product/Category.aspx?br=f21&category=dress,
Forever 21,Tops,http://www.forever21.com/Product/Category.aspx?br=f21&category=top,
Forever 21,Sweaters & Cardigans,http://www.forever21.com/Product/Category.aspx?br=f21&category=sweater,
Forever 21,Jackets and Coats,http://www.forever21.com/Product/Category.aspx?br=f21&category=outerwear_coats-and-jackets,
Forever 21,Denim,http://www.forever21.com/Product/Category.aspx?br=f21&category=bottom_jeans,
Forever 21,Leggings,http://www.forever21.com/Product/Category.aspx?br=f21&category=bottom_leggings,
Forever 21,Pants,http://www.forever21.com/Product/Category.aspx?br=f21&category=bottom_pants,
Forever 21,Shorts,http://www.forever21.com/Product/Category.aspx?br=f21&category=bottom_shorts,
Forever 21,Skirts,http://www.forever21.com/Product/Category.aspx?br=f21&category=bottom_skirt,
Forever 21,Rompers & Jumpsuits,http://www.forever21.com/Product/Category.aspx?br=f21&category=jumpsuit_romper,
Forever 21,Intimates,http://www.forever21.com/Product/Category.aspx?br=f21&category=intimates,
Forever 21,Sleepwear,http://www.forever21.com/Product/Category.aspx?br=f21&category=sleepwear-pajamas-robes,
Forever 21,Swimwear,http://www.forever21.com/Product/Category.aspx?br=f21&category=swimwear_all,
Forever 21,Activewear,http://www.forever21.com/Product/Category.aspx?br=f21&category=activewear,
Forever 21,Jewelry,http://www.forever21.com/Product/Category.aspx?br=f21&category=acc_jewelry,
Forever 21,Watches,http://www.forever21.com/Product/Category.aspx?br=f21&category=acc_watches,
Forever 21,Bags and Wallets,http://www.forever21.com/Product/Category.aspx?br=f21&category=acc_handbags,
Forever 21,Beauty,http://www.forever21.com/Product/Category.aspx?br=f21&category=acc_beauty,
Forever 21,Hair Accessories,http://www.forever21.com/Product/Category.aspx?br=f21&category=acc_hair,
Forever 21,Sunglasses and Eyewear,http://www.forever21.com/Product/Category.aspx?br=f21&category=acc_glasses,
Forever 21,Socks and tights,http://www.forever21.com/Product/Category.aspx?br=f21&category=acc_legwear,
Forever 21,Hats,http://www.forever21.com/Product/Category.aspx?br=f21&category=acc_hat,
Forever 21,Scarves and gloves,http://www.forever21.com/Product/Category.aspx?br=f21&category=acc_scarf-gloves,
Forever 21,belts,http://www.forever21.com/Product/Category.aspx?br=f21&category=acc_belts,
Forever 21,Home and gifts,http://www.forever21.com/Product/Category.aspx?br=f21&category=acc_home-and-gift-items,
Forever 21,Shoes,http://www.forever21.com/Product/Category.aspx?br=f21&category=shoes,
Forever 21,Dresses - SALE,http://www.forever21.com/Product/Category.aspx?br=f21&category=sale_dresses,
Forever 21,Sale Tops - SALE,http://www.forever21.com/Product/Category.aspx?br=f21&category=sale_tops,
Forever 21,Sweaters & Cardigans - SALE,http://www.forever21.com/Product/Category.aspx?br=f21&category=sale_outerwear,
Forever 21,Bottoms - SALE,http://www.forever21.com/Product/Category.aspx?br=f21&category=sale_bottoms,
Forever 21,Jumpsuits and Rompers - SALE,http://www.forever21.com/Product/Category.aspx?br=f21&category=sale_women_jumpsuits_rompers,
Forever 21,Accessories - SALE,http://www.forever21.com/Product/Category.aspx?br=f21&category=sale_acc,
Forever 21,Jewelry - SALE,http://www.forever21.com/Product/Category.aspx?br=f21&category=sale_jewelry,
Forever 21,Shoes - SALE,http://www.forever21.com/Product/Category.aspx?br=f21&category=sale_shoes,
Forever 21,Activewear - SALE,http://www.forever21.com/Product/Category.aspx?br=f21&category=sale_activewear,
Forever 21,Dresses PLUS,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-dresses,
Forever 21,Tops PLUS,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-tops,
Forever 21,Sweaters & Cardigans PLUS,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-sweater,
Forever 21,Sweatshirts PLUS,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-sweatshirts-hoodies,
Forever 21,Jackets and Coats PLUS,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-outerwear,
Forever 21,Rompers and Jumpsuits PLUS,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-rompers-jumpsuits,
Forever 21,Denim- PLUS,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-bottom-denim,
Forever 21,Pants PLUS,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-bottom-pants,
Forever 21,Leggings PLUS,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-bottom-leggings,
Forever 21,Skirts PLUS,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-bottom-skirts,
Forever 21,Shorts PLUS,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-bottom-shorts,
Forever 21,Swim PLUS,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-swimwear,
Forever 21,Hoisery and Shapewear,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-activewear,
Forever 21,Plus size shoes,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-shoes,
Forever 21,Plus size accessories,http://www.forever21.com/Product/Category.aspx?br=plus&category=plus_size-accessories,
