StoreName,ExternalCategory,URL,special_tag
Hot Topic,Dresses,http://www.hottopic.com/hottopic/Girls/Dresses.jsp,
Hot Topic,Tees,http://www.hottopic.com/hottopic/Girls/Tees.jsp,
Hot Topic,Tanks,http://www.hottopic.com/hottopic/Girls/Tanks.jsp,
Hot Topic,Fashion Tops,http://www.hottopic.com/hottopic/Girls/Tops.jsp,
Hot Topic,Hoodies and Sweatshirts,http://www.hottopic.com/hottopic/Girls/Hoodies.jsp,
Hot Topic,Jeans,http://www.hottopic.com/hottopic/Girls/Jeans.jsp,
Hot Topic,Leggings,http://www.hottopic.com/hottopic/Girls/Leggings.jsp,
Hot Topic,Shorts,http://www.hottopic.com/hottopic/Girls/Shorts.jsp,
Hot Topic,Bottoms,http://www.hottopic.com/hottopic/Girls/Bottoms.jsp,
Hot Topic,Jackets and Coats,http://www.hottopic.com/hottopic/Girls/Outerwear.jsp,
Hot Topic,Sleepwear,http://www.hottopic.com/hottopic/Girls/Sleepwear.jsp,
Hot Topic,Lingerie,http://www.hottopic.com/hottopic/Girls/Lingerie.jsp,
Hot Topic,Socks and tights,http://www.hottopic.com/hottopic/Girls/Hosiery.jsp,
Hot Topic,Swim,http://www.hottopic.com/hottopic/Girls/Swim.jsp,
Hot Topic,Shoes,http://www.hottopic.com/hottopic/Girls/Shoes.jsp,
Hot Topic,Plus Sizes,http://www.hottopic.com/hottopic/Girls/HellBunnyPlusSizes.jsp,
Hot Topic,Clearance,http://www.hottopic.com/hottopic/Girls/Clearance.jsp,sale
