StoreName,ExternalCategory,URL,special_tag
Ivivva,Jackets & Hoodies,http://www.ivivva.com/products/category/girls-hoodies?lnid=ln;tops;jackets-and-hoodies,
Ivivva,Tanks & Leotards,http://www.ivivva.com/products/category/girls-tanks?lnid=ln;tops;tanks-and-leotards,
Ivivva,Tops,http://www.ivivva.com/products/category/girls-tops?lnid=ln;tops;tops,
Ivivva,Sports Bras,http://www.ivivva.com/products/category/girls-sportsbras?lnid=ln;tops;sports-bras,
Ivivva,Pants,http://www.ivivva.com/products/category/girls-pants?lnid=ln;bottoms;pants,
Ivivva,Crops,http://www.ivivva.com/products/category/girls-crops?lnid=ln;bottoms;crops,
Ivivva,Shorts,http://www.ivivva.com/products/category/girls-shorts?lnid=ln;bottoms;shorts,
Ivivva,Skirts & Dresses,http://www.ivivva.com/products/category/girls-dresses?lnid=ln;bottoms;skirts-and-dresses,
Ivivva,Accessories,http://www.ivivva.com/products/category/girls-shop-accessories?lnid=ln;accessories;accessories,
Ivivva,Headwear,http://www.ivivva.com/products/category/girls-headwear?lnid=ln;accessories;headwear,
Ivivva,Bags,http://www.ivivva.com/products/category/girls-bags?lnid=ln;accessories;bags,
Ivivva,Winter Accessories,http://www.ivivva.com/products/category/winter-accessories?lnid=ln;accessories;winter-accessories,
Ivivva,CLEARANCE,http://www.ivivva.com/products/category/now-or-never?mnid=mn;shop;shop;now-or-never,
