StoreName,ExternalCategory,URL,special_tag
Kate Spade,Bags,"http://www.katespade.com/designer-handbags/ks-handbags,en_US,sc.html",
Kate Spade,Dresses,"http://www.katespade.com/designer-clothing-dresses/ks-clothing-dresses,en_US,sc.html",
Kate Spade,Tops,"http://www.katespade.com/designer-clothing-tops/ks-clothing-tops,en_US,sc.html",
Kate Spade,Sweaters,"http://www.katespade.com/designer-clothing-sweaters/ks-clothing-sweaters,en_US,sc.html",
Kate Spade,Skirts,"http://www.katespade.com/designer-clothing-skirts/ks-clothing-skirts,en_US,sc.html",
Kate Spade,Jeans,"http://www.katespade.com/jeans/ks-clothing-denim,en_US,sc.html",
Kate Spade,Pants,"http://www.katespade.com/designer-clothing-pants-shorts/ks-clothing-pants,en_US,sc.html",
Kate Spade,Outerwear,"http://www.katespade.com/desginer-clothing-outerwear/ks-clothing-outerwear,en_US,sc.html",
Kate Spade,Madison Avenue Collection,http://www.katespade.com/madison-ave.-collection/ks-clothing-madison-ave-collection,
Kate Spade,Shoes,"http://www.katespade.com/shoes/ks-shoes,en_US,sc.html",
Kate Spade,Jewelry,"http://www.katespade.com/jewelry/ks-jewelry,en_US,sc.html",
Kate Spade,Wallets,"http://www.katespade.com/accessories-wallets/ks-accessories-wallets,en_US,sc.html",
Kate Spade,Small,"http://www.katespade.com/accessories-small-accessories/ks-accessories-small-accessories,en_US,sc.html",
Kate Spade,Tech,"http://www.katespade.com/accessories-tech/ks-accessories-tech,en_US,sc.html",
Kate Spade,Desk,"http://www.katespade.com/desk-accessories/ks-accessories-desk-accessories,en_US,sc.html",
Kate Spade,Scarves,"http://www.katespade.com/accessories-hats-scarves-belts/ks-accessories-scarves,en_US,sc.html",
Kate Spade,Legwear,"http://www.katespade.com/accessories-legwear/ks-accessories-legwear,en_US,sc.html",
Kate Spade,Beauty,"http://www.katespade.com/accessories-beauty/ks-accesssories-beauty,en_US,sc.html",
Kate Spade,Eyewear,"http://www.katespade.com/accessories-eyewear/ks-accessories-eyewear,en_US,sc.html",
Kate Spade,Bags,"http://www.katespade.com/sale-designer-handbags-wallets/ks-sale-handbags-wallets,en_US,sc.html",
Kate Spade,Clothing,"http://www.katespade.com/sale-designer-clothing/ks-sale-clothing,en_US,sc.html",sale
Kate Spade,Shoes,"http://www.katespade.com/sale-shoes/ks-sale-shoes,en_US,sc.html",sale
Kate Spade,Jewelry,"http://www.katespade.com/sale-designer-jewelry/ks-sale-jewelry,en_US,sc.html",sale
Kate Spade,Accessories,"http://www.katespade.com/sale-accessories/ks-sale-accessories,en_US,sc.html",sale
