StoreName,ExternalCategory,URL,special_tag
Nasty Gal,Dresses,http://www.nastygal.com/clothes-dresses,
Nasty Gal,Crop Tops,http://www.nastygal.com/clothes-tops-cropped,
Nasty Gal,Bustiers and Body Suits,http://www.nastygal.com/clothes_tops_bustiers-bodysuits,
Nasty Gal,Tanks,http://www.nastygal.com/clothes-tops-tanks,
Nasty Gal,Tees,http://www.nastygal.com/clothes-tops-tees,
Nasty Gal,Shirts & Blouses,http://www.nastygal.com/clothes-tops-shirts-blouses,
Nasty Gal,Sweatshirts,http://www.nastygal.com/clothes-tops-sweatshirts,
Nasty Gal,Graphics,http://www.nastygal.com/clothes-tops-graphics,
Nasty Gal,Basics,http://www.nastygal.com/clothes-tops-basics,
Nasty Gal,Sweaters,http://www.nastygal.com/clothes-sweaters,
Nasty Gal,Jackets and Coats,http://www.nastygal.com/clothes-jackets-coats,
Nasty Gal,Rompers & Jumpsuits,http://www.nastygal.com/clothes-rompers-jumpsuits,
Nasty Gal,Denim,http://www.nastygal.com/clothes-bottoms-denim,
Nasty Gal,Skirts,http://www.nastygal.com/clothes-bottoms-skirts,
Nasty Gal,Shorts,http://www.nastygal.com/clothes-bottoms-shorts,
Nasty Gal,Pants,http://www.nastygal.com/clothes-bottoms-pants,
Nasty Gal,Swimwear,http://www.nastygal.com/clothes-swimwear,
Nasty Gal,Lingerie,http://www.nastygal.com/clothes-lingerie,
Nasty Gal,Shoes,http://www.nastygal.com/shoes,
Nasty Gal,Jewelry,http://www.nastygal.com/accessories-jewelry,
Nasty Gal,Bags & Backpacks,http://www.nastygal.com/accessories-bags-backpacks,
Nasty Gal,Hair & Hats,http://www.nastygal.com/accessories-hair-hats,
Nasty Gal,Socks & Legwear,http://www.nastygal.com/accessories-socks-legwear,
Nasty Gal,Scarves & Gloves,http://www.nastygal.com/accessories-scarves-gloves,
Nasty Gal,Beauty,http://www.nastygal.com/accessories-beauty,
Nasty Gal,Eyewear,http://www.nastygal.com/accessories-eyewear,
Nasty Gal,Belts,http://www.nastygal.com/accessories-belts,
Nasty Gal,Tech,http://www.nastygal.com/accessories-tech,
Nasty Gal,Home,http://www.nastygal.com/home,
Nasty Gal,Dresses,http://www.nastygal.com/sale-dresses,sale
Nasty Gal,Tops,http://www.nastygal.com/sale-tops,sale
Nasty Gal,Sweaters,http://www.nastygal.com/sale-sweaters,sale
Nasty Gal,Rompers & Jumpsuits,http://www.nastygal.com/sale-rompers-jumpsuits,sale
Nasty Gal,Denim,http://www.nastygal.com/sale-denim,sale
Nasty Gal,Skirts,http://www.nastygal.com/sale-skirts,sale
Nasty Gal,Shorts,http://www.nastygal.com/sale-shorts,sale
Nasty Gal,Pants,http://www.nastygal.com/sale-pants,sale
Nasty Gal,Jackets & Coats,http://www.nastygal.com/sale-jackets-coats,sale
Nasty Gal,Shoes,http://www.nastygal.com/sale-shoes,sale
Nasty Gal,Jewelry,http://www.nastygal.com/sale-accessories-jewelry,sale
Nasty Gal,Bags,http://www.nastygal.com/sale-accessories-bags,sale
Nasty Gal,Beauty,http://www.nastygal.com/sale-accessories-beauty,sale
Nasty Gal,Hait & Hats,http://www.nastygal.com/sale-accessories-hair-hats,sale
Nasty Gal,Socks and Legwear,http://www.nastygal.com/sale-accessories-socks-legwear,sale
Nasty Gal,Belts,http://www.nastygal.com/sale-accessories-belts,sale
Nasty Gal,Eyewear,http://www.nastygal.com/sale-accessories-eyewear,sale
Nasty Gal,Tech,http://www.nastygal.com/sale-accessories-tech,sale
Nasty Gal,Fun Stuff,http://www.nastygal.com/sale-accessories-fun-stuff,sale
Nasty Gal,Swim,http://www.nastygal.com/sale-swimwear,sale
Nasty Gal,Lingerie,http://www.nastygal.com/sale-lingerie,sale
