StoreName,ExternalCategory,URL,special_tag
Rue 21,Dresses,http://www.rue21.com/store/jump/category/Girls-Dresses/cat50004,
Rue 21,Long Sleeve,http://www.rue21.com/store/jump/category/Long-Sleeve/cat1510024,
Rue 21,Short Sleeve,http://www.rue21.com/store/jump/category/Short-Sleeve/cat1510023,
Rue 21,Tank Tops,http://www.rue21.com/store/jump/category/Girls-Fashion-Tank-Tops/cat1510020,
Rue 21,Crop Tops,http://www.rue21.com/store/jump/category/Crop-Tops/cat1510021,
Rue 21,Graphic Tees,http://www.rue21.com/store/jump/category/Graphic-Tees--Tanks/cat50007,
Rue 21,Basic Tops,http://www.rue21.com/store/jump/category/Basic-Tops/cat1390002,
Rue 21,Shirts and Blouses,http://www.rue21.com/store/jump/category/Shirts--Blouses/cat1390004,
Rue 21,Sweatshirts and Hoodies,http://www.rue21.com/store/jump/category/Sweatshirts--Hoodies-/cat890002,
Rue 21,Sweater,http://www.rue21.com/store/jump/category/Sweaters-/cat30002,
Rue 21,Wraps & Cardigans,http://www.rue21.com/store/jump/category/Wraps--Cardigans-/cat1510022,
Rue 21,Jackets and Coats,http://www.rue21.com/store/jump/category/Jackets--Coats/cat30005,
Rue 21,Denim,http://www.rue21.com/store/jump/category/Denim-/cat50009,
Rue 21,Joggers,http://www.rue21.com/store/jump/category/Joggers/cat1490005,
Rue 21,Pants,http://www.rue21.com/store/jump/category/Pants/cat30008,
Rue 21,Shorts,http://www.rue21.com/store/jump/category/Shorts/cat30007,
Rue 21,Skirts,http://www.rue21.com/store/jump/category/Skirts/cat30009,
Rue 21,Leggings,http://www.rue21.com/store/jump/category/Leggings/cat850010,
Rue 21,Activewear,http://www.rue21.com/store/jump/category/Activewear/cat850011,
Rue 21,Swim,http://www.rue21.com/store/jump/category/ruebleu-Girls-Swimwear-New-Arrivals/cat1460021,
Rue 21,Sleepwear,http://www.rue21.com/store/jump/category/Sleepwear/cat850014,
Rue 21,Bras,http://www.rue21.com/store/jump/category/Bras/cat1500006,
Rue 21,Undies and Shapewear,http://www.rue21.com/store/jump/category/Undies--Shapewear/cat1810001,
Rue 21,Shoes,http://www.rue21.com/store/jump/category/Girls-Shoes/cat1580012,
Rue 21,Sale Tops,http://www.rue21.com/store/jump/category/Girls-Tops/cat980033,
Rue 21,Sale Bottoms,http://www.rue21.com/store/jump/category/Girls-Clearance-Bottoms/cat980034,
Rue 21,Sale Dresses,http://www.rue21.com/store/jump/category/Dresses/cat1000006,
Rue 21,Sale Bras and Undies,http://www.rue21.com/store/jump/category/Bras--Undies/cat1000007,
Rue 21,Sale Jewelry,http://www.rue21.com/store/jump/category/Jewelry/cat1540001,
Rue 21,Sale Accessories,http://www.rue21.com/store/jump/category/Accessories/cat980037,
Rue 21,Sale Shoes,http://www.rue21.com/store/jump/category/Girls-Clearance-Shoes/cat980038,
