StoreName,ExternalCategory,URL,special_tag,
Vineyard Vines,Dresses,http://www.vineyardvines.com/womens-dresses/,,
Vineyard Vines,Skirts,http://www.vineyardvines.com/womens-skirts/,,
Vineyard Vines,Sweaters,http://www.vineyardvines.com/womens-sweaters/,,
Vineyard Vines,Shirts,http://www.vineyardvines.com/women-shirts/,,
Vineyard Vines,Polos,http://www.vineyardvines.com/womens-polo-shirts/,,
Vineyard Vines,Tees & Tanks,http://www.vineyardvines.com/tees-and-tanks/,,
Vineyard Vines,Shep Shirts & Pullovers,http://www.vineyardvines.com/women-shep-shirts/,,
Vineyard Vines,Fleece & Outerwear,http://www.vineyardvines.com/womens-fleece-and-outerwear/,,
Vineyard Vines,Pants & Shorts,http://www.vineyardvines.com/womens-pants-shorts/,,
Vineyard Vines,Swim & Coverups,http://www.vineyardvines.com/womens-swimwear/,,
Vineyard Vines,Lounge,http://www.vineyardvines.com/womens-lounge-pants/,,
Vineyard Vines,FlipFlops and Rainbows,http://www.vineyardvines.com/womens-flip-flops/,,
Vineyard Vines,Bags,http://www.vineyardvines.com/womens-tote-bags/,,
Vineyard Vines,Accessories,http://www.vineyardvines.com/womens-accessories/,,
