StoreName,ExternalCategory,URL,special_tag
Wet Seal,Basic Tops,http://www.wetseal.com/clothing-tops-basics/,
Wet Seal,Graphic Tees,http://www.wetseal.com/clothing-tops-graphic-tees/,
Wet Seal,Crop Tops,http://www.wetseal.com/clothing-tops-crop/,
Wet Seal,Tanks,http://www.wetseal.com/clothing-tops-tanks/,
Wet Seal,Tees,http://www.wetseal.com/clothing-tops-tees/,
Wet Seal,Kimonos,http://www.wetseal.com/clothing-tops-kimonos/,
Wet Seal,Blouses and Shirts,http://www.wetseal.com/clothing-tops-blouses-shirts/,
Wet Seal,Fancy,http://www.wetseal.com/clothing-tops-fancy/,
Wet Seal,Sweaters,http://www.wetseal.com/clothing-sweaters/,
Wet Seal,Dresses,http://www.wetseal.com/clothing-dresses/,
Wet Seal,Rompers and Jumpsuits,http://www.wetseal.com/clothing-rompers-jumpsuits/,
Wet Seal,Pants,http://www.wetseal.com/clothing-bottoms-pants/,
Wet Seal,Denim,http://www.wetseal.com/clothing-bottoms-jeans/,
Wet Seal,Leggings,http://www.wetseal.com/clothing-bottoms-leggings/,
Wet Seal,Shorts,http://www.wetseal.com/clothing-bottoms-shorts/,
Wet Seal,Skirts,http://www.wetseal.com/clothing-bottoms-skirts/,
Wet Seal,Overalls,http://www.wetseal.com/clothing-bottoms-overalls/,
Wet Seal,Fancy Bottoms,http://www.wetseal.com/clothing-bottoms-fancy/,
Wet Seal,Jackets & Outerwear,http://www.wetseal.com/clothing-jackets/,
Wet Seal,Bras,http://www.wetseal.com/intimates-bras/,
Wet Seal,Panties,http://www.wetseal.com/intimates-boyshorts-and-panties/,
Wet Seal,Sleepwear,http://www.wetseal.com/intimates-sleepwear/,
Wet Seal,Swimwear,http://www.wetseal.com/intimates-swimwear/,
Wet Seal,Shoes,http://www.wetseal.com/shoes/,
Wet Seal,Jewelry,http://www.wetseal.com/accessories-jewelry/,
Wet Seal,Bags & Wallets,http://www.wetseal.com/accessories-bagsandwallets/,
Wet Seal,Scarves,http://www.wetseal.com/accessories-scarves/,
Wet Seal,Belts,http://www.wetseal.com/accessories-belts/,
Wet Seal,Cold Weather,http://www.wetseal.com/accessories-coldweather/,
Wet Seal,Hats,http://www.wetseal.com/accessories-hats/,
Wet Seal,Hair,http://www.wetseal.com/accessories-hair/,
Wet Seal,Home & Gifts,http://www.wetseal.com/accessories-gifts/,
Wet Seal,Beauty,http://www.wetseal.com/accessories-beauty/,
Wet Seal,Sunglasses,http://www.wetseal.com/accessories-sunglasses/,
Wet Seal,Hoisery,http://www.wetseal.com/accessories-hosiery/,
Wet Seal,Plus Tops,http://www.wetseal.com/plus-tops/,
Wet Seal,Plus Dresses,http://www.wetseal.com/plus-dresses/,
Wet Seal,Plus Bottoms,http://www.wetseal.com/plus-bottoms/,
Wet Seal,Plus Jeans,http://www.wetseal.com/plus-jeans/,
Wet Seal,Plus Basics,http://www.wetseal.com/plus-basics/,
Wet Seal,Plus sweaters,http://www.wetseal.com/plus-sweaters-sweatshirts/,
Wet Seal,Plus Outerwear,http://www.wetseal.com/plus-jackets/,
Wet Seal,Plus Jumpsuits and Rompers,http://www.wetseal.com/plus-rompers-and-jumpsuits/,
Wet Seal,Plus Accessories,http://www.wetseal.com/plus-accessories/,
Wet Seal,Plus Intimates,http://www.wetseal.com/plus-intimates/,
Wet Seal,Plus Sale,http://www.wetseal.com/plus-sale/,
Wet Seal,Plus Clearance,http://www.wetseal.com/plus-clearance/,
Wet Seal,all,http://www.wetseal.com/sale-promo/,sale
