StoreName,ExternalCategory,URL,special_tag
Wildfox,Tops,http://www.wildfox.com/tops,
Wildfox,bottoms,http://www.wildfox.com/bottoms,
Wildfox,Sweatshirts,http://www.wildfox.com/sweatshirts,
Wildfox,Dresses,http://www.wildfox.com/dresses,
Wildfox,Essentials,http://www.wildfox.com/essentials,
Wildfox,White Label,http://www.wildfox.com/white-label,
Wildfox,Jean pants,http://www.wildfox.com/jeans/pants,
Wildfox,Jean shorts,http://www.wildfox.com/jeans/shorts,
Wildfox,Jean dress/skirt,http://www.wildfox.com/jeans/dresses-skirts,
Wildfox,jean jackets,http://www.wildfox.com/jeans/shirts-jackets,
Wildfox,Swim,http://www.wildfox.com/swim,
Wildfox,Sunnies,http://www.wildfox.com/sun,
Wildfox,Intiamtes,http://www.wildfox.com/intimates,
Wildfox,Accessories,http://www.wildfox.com/accessories,
Wildfox,Kids,http://www.wildfox.com/kids,
Wildfox,SALE,http://www.wildfox.com/sale,sale
