ZipCode,CombinedRate,State,,
80001,0.0796,CO,,
80002,0.0796,CO,,
80003,0.0796,CO,,
80004,0.0796,CO,,
80005,0.0796,CO,,
80006,0.0796,CO,,
80007,0.0796,CO,,
80010,0.085,CO,,
80011,0.08,CO,,
80012,0.08,CO,,
80013,0.08,CO,,
80014,0.08,CO,,
80015,0.08,CO,,
80016,0.08,CO,,
80017,0.08,CO,,
80018,0.07,CO,,
80019,0.085,CO,,
80020,0.0815,CO,,
80021,0.0835,CO,,
80022,0.0925,CO,,
80023,0.0815,CO,,
80024,0.0475,CO,,
80025,0.048,CO,,
80026,0.083,CO,,
80027,0.083,CO,,
80030,0.086,CO,,
80031,0.086,CO,,
80033,0.075,CO,,
80034,0.075,CO,,
80035,0.086,CO,,
80036,0.086,CO,,
80037,0.0925,CO,,
80038,0.0815,CO,,
80040,0.085,CO,,
80041,0.08,CO,,
80042,0.085,CO,,
80044,0.085,CO,,
80045,0.085,CO,,
80046,0.0675,CO,,
80047,0.08,CO,,
80101,0.039,CO,,
80102,0.0375,CO,,
80103,0.0325,CO,,
80104,0.079,CO,,
80105,0.0325,CO,,
80106,0.0513,CO,,
80107,0.039,CO,,
80108,0.079,CO,,
80109,0.079,CO,,
80110,0.0775,CO,,
80111,0.0725,CO,,
80112,0.0675,CO,,
80113,0.0775,CO,,
80116,0.04,CO,,
80117,0.039,CO,,
80118,0.04,CO,,
80120,0.0725,CO,,
80121,0.0675,CO,,
80122,0.0675,CO,,
80123,0.0762,CO,,
80124,0.068125,CO,,
80125,0.04,CO,,
80126,0.05,CO,,
80127,0.05,CO,,
80128,0.05,CO,,
80129,0.05,CO,,
80130,0.05,CO,,
80131,0.04,CO,,
80132,0.0513,CO,,
80133,0.0713,CO,,
80134,0.05,CO,,
80135,0.04,CO,,
80136,0.0375,CO,,
80137,0.0375,CO,,
80138,0.08,CO,,
80150,0.0775,CO,,
80151,0.0775,CO,,
80155,0.0675,CO,,
80160,0.0725,CO,,
80161,0.0725,CO,,
80162,0.05,CO,,
80163,0.05,CO,,
80165,0.0725,CO,,
80166,0.0725,CO,,
80201,0.0762,CO,,
80202,0.0762,CO,,
80203,0.0762,CO,,
80204,0.0762,CO,,
80205,0.0762,CO,,
80206,0.0762,CO,,
80207,0.0762,CO,,
80208,0.0762,CO,,
80209,0.0762,CO,,
80210,0.0762,CO,,
80211,0.0762,CO,,
80212,0.0762,CO,,
80214,0.075,CO,,
80215,0.075,CO,,
80216,0.0762,CO,,
80217,0.0762,CO,,
80218,0.0762,CO,,
80219,0.0762,CO,,
80220,0.0762,CO,,
80221,0.0475,CO,,
80222,0.0762,CO,,
80223,0.0762,CO,,
80224,0.0762,CO,,
80225,0.075,CO,,
80226,0.075,CO,,
80227,0.075,CO,,
80228,0.075,CO,,
80229,0.085,CO,,
80230,0.0762,CO,,
80231,0.0762,CO,,
80232,0.075,CO,,
80233,0.0875,CO,,
80234,0.086,CO,,
80235,0.0762,CO,,
80236,0.0762,CO,,
80237,0.0762,CO,,
80238,0.0762,CO,,
80239,0.0762,CO,,
80241,0.085,CO,,
80243,0.0762,CO,,
80246,0.08,CO,,
80247,0.0762,CO,,
80248,0.0762,CO,,
80249,0.0762,CO,,
80250,0.0762,CO,,
80251,0.0762,CO,,
80256,0.0762,CO,,
80257,0.0762,CO,,
80259,0.0762,CO,,
80260,0.0875,CO,,
80261,0.0762,CO,,
80262,0.0762,CO,,
80263,0.0762,CO,,
80264,0.0762,CO,,
80265,0.0762,CO,,
80266,0.0762,CO,,
80271,0.0762,CO,,
80273,0.0762,CO,,
80274,0.0762,CO,,
80281,0.0762,CO,,
80290,0.0762,CO,,
80291,0.0762,CO,,
80293,0.0762,CO,,
80294,0.0762,CO,,
80295,0.0762,CO,,
80299,0.0762,CO,,
80301,0.0836,CO,,
80302,0.0836,CO,,
80303,0.0836,CO,,
80304,0.0836,CO,,
80305,0.0836,CO,,
80306,0.0836,CO,,
80307,0.0836,CO,,
80308,0.0836,CO,,
80309,0.0836,CO,,
80310,0.048,CO,,
80314,0.048,CO,,
80401,0.045,CO,,
80402,0.075,CO,,
80403,0.045,CO,,
80419,0.075,CO,,
80420,0.069,CO,,
80421,0.039,CO,,
80422,0.029,CO,,
80423,0.044,CO,,
80424,0.08275,CO,,
80425,0.045,CO,,
80426,0.044,CO,,
80427,0.069,CO,,
80428,0.039,CO,,
80429,0.069,CO,,
80430,0.069,CO,,
80432,0.079,CO,,
80433,0.045,CO,,
80434,0.069,CO,,
80435,0.05775,CO,,
80436,0.039,CO,,
80437,0.045,CO,,
80438,0.069,CO,,
80439,0.045,CO,,
80440,0.079,CO,,
80442,0.079,CO,,
80443,0.07775,CO,,
80444,0.069,CO,,
80446,0.039,CO,,
80447,0.039,CO,,
80448,0.039,CO,,
80449,0.039,CO,,
80451,0.079,CO,,
80452,0.039,CO,,
80453,0.045,CO,,
80454,0.045,CO,,
80455,0.048,CO,,
80456,0.039,CO,,
80457,0.045,CO,,
80459,0.039,CO,,
80461,0.069,CO,,
80463,0.044,CO,,
80465,0.045,CO,,
80466,0.048,CO,,
80467,0.039,CO,,
80468,0.039,CO,,
80469,0.039,CO,,
80470,0.045,CO,,
80471,0.048,CO,,
80473,0.069,CO,,
80474,0.029,CO,,
80475,0.039,CO,,
80476,0.069,CO,,
80477,0.0865,CO,,
80478,0.039,CO,,
80479,0.039,CO,,
80480,0.069,CO,,
80481,0.048,CO,,
80482,0.089,CO,,
80483,0.059,CO,,
80487,0.0865,CO,,
80488,0.0865,CO,,
80497,0.07775,CO,,
80498,0.05775,CO,,
80501,0.08075,CO,,
80502,0.08075,CO,,
80503,0.08075,CO,,
80504,0.08075,CO,,
80510,0.048,CO,,
80511,0.085,CO,,
80512,0.035,CO,,
80513,0.035,CO,,
80514,0.059,CO,,
80515,0.035,CO,,
80516,0.074,CO,,
80517,0.085,CO,,
80520,0.059,CO,,
80521,0.0735,CO,,
80522,0.0735,CO,,
80523,0.0735,CO,,
80524,0.0735,CO,,
80525,0.0735,CO,,
80526,0.0735,CO,,
80527,0.0735,CO,,
80528,0.0735,CO,,
80530,0.054,CO,,
80532,0.035,CO,,
80533,0.048,CO,,
80534,0.059,CO,,
80535,0.035,CO,,
80536,0.035,CO,,
80537,0.065,CO,,
80538,0.065,CO,,
80539,0.065,CO,,
80540,0.035,CO,,
80541,0.035,CO,,
80542,0.049,CO,,
80543,0.054,CO,,
80544,0.058,CO,,
80545,0.035,CO,,
80546,0.059,CO,,
80547,0.065,CO,,
80549,0.065,CO,,
80550,0.061,CO,,
80551,0.061,CO,,
80553,0.0735,CO,,
80601,0.085,CO,,
80602,0.085,CO,,
80603,0.0475,CO,,
80610,0.029,CO,,
80611,0.029,CO,,
80612,0.029,CO,,
80614,0.085,CO,,
80615,0.059,CO,,
80620,0.064,CO,,
80621,0.069,CO,,
80622,0.029,CO,,
80623,0.069,CO,,
80624,0.029,CO,,
80631,0.0636,CO,,
80632,0.0636,CO,,
80633,0.0636,CO,,
80634,0.0636,CO,,
80638,0.0636,CO,,
80639,0.0636,CO,,
80640,0.0925,CO,,
80642,0.029,CO,,
80643,0.029,CO,,
80644,0.029,CO,,
80645,0.029,CO,,
80646,0.029,CO,,
80648,0.049,CO,,
80649,0.029,CO,,
80650,0.029,CO,,
80651,0.029,CO,,
80652,0.029,CO,,
80653,0.029,CO,,
80654,0.029,CO,,
80701,0.059,CO,,
80705,0.059,CO,,
80720,0.069,CO,,
80721,0.039,CO,,
80722,0.039,CO,,
80723,0.065,CO,,
80726,0.039,CO,,
80727,0.029,CO,,
80728,0.039,CO,,
80729,0.029,CO,,
80731,0.064,CO,,
80732,0.029,CO,,
80733,0.029,CO,,
80734,0.054,CO,,
80735,0.029,CO,,
80736,0.039,CO,,
80737,0.059,CO,,
80740,0.044,CO,,
80741,0.039,CO,,
80742,0.029,CO,,
80743,0.044,CO,,
80744,0.049,CO,,
80745,0.039,CO,,
80746,0.039,CO,,
80747,0.039,CO,,
80749,0.049,CO,,
80750,0.029,CO,,
80751,0.07,CO,,
80754,0.029,CO,,
80755,0.029,CO,,
80757,0.044,CO,,
80758,0.054,CO,,
80759,0.059,CO,,
80801,0.044,CO,,
80802,0.029,CO,,
80804,0.049,CO,,
80805,0.029,CO,,
80807,0.049,CO,,
80808,0.0513,CO,,
80809,0.0513,CO,,
80810,0.029,CO,,
80812,0.044,CO,,
80813,0.039,CO,,
80814,0.039,CO,,
80815,0.029,CO,,
80816,0.039,CO,,
80817,0.0788,CO,,
80818,0.049,CO,,
80819,0.0813,CO,,
80820,0.039,CO,,
80821,0.049,CO,,
80822,0.029,CO,,
80823,0.049,CO,,
80824,0.029,CO,,
80825,0.029,CO,,
80826,0.049,CO,,
80827,0.039,CO,,
80828,0.069,CO,,
80829,0.0903,CO,,
80830,0.039,CO,,
80831,0.0513,CO,,
80832,0.039,CO,,
80833,0.0513,CO,,
80834,0.029,CO,,
80835,0.039,CO,,
80836,0.029,CO,,
80840,0.0513,CO,,
80860,0.069,CO,,
80861,0.029,CO,,
80862,0.029,CO,,
80863,0.069,CO,,
80864,0.0513,CO,,
80866,0.069,CO,,
80901,0.0763,CO,,
80902,0.0513,CO,,
80903,0.0763,CO,,
80904,0.0763,CO,,
80905,0.0763,CO,,
80906,0.0763,CO,,
80907,0.0763,CO,,
80908,0.0513,CO,,
80909,0.0763,CO,,
80910,0.0763,CO,,
80911,0.0513,CO,,
80912,0.029,CO,,
80913,0.0513,CO,,
80914,0.0763,CO,,
80915,0.0513,CO,,
80916,0.0763,CO,,
80917,0.0763,CO,,
80918,0.0763,CO,,
80919,0.0763,CO,,
80920,0.0763,CO,,
80921,0.0513,CO,,
80922,0.0763,CO,,
80923,0.0763,CO,,
80924,0.0763,CO,,
80925,0.0513,CO,,
80926,0.0513,CO,,
80927,0.0763,CO,,
80928,0.0513,CO,,
80929,0.0513,CO,,
80930,0.0513,CO,,
80931,0.0513,CO,,
80932,0.0763,CO,,
80933,0.0763,CO,,
80934,0.0763,CO,,
80935,0.0763,CO,,
80936,0.0763,CO,,
80937,0.0763,CO,,
80938,0.0763,CO,,
80939,0.0513,CO,,
80941,0.0763,CO,,
80942,0.0763,CO,,
80944,0.0763,CO,,
80946,0.0763,CO,,
80947,0.0763,CO,,
80949,0.0763,CO,,
80950,0.0763,CO,,
80951,0.0513,CO,,
80960,0.0763,CO,,
80962,0.0763,CO,,
